input,action
"Any[11.6, -23.2]",7.897882531436347
"Any[-11.6, 11.6]",-0.16830913110042123
"Any[23.2, 11.6]",12.66494541132098
"Any[-11.6, -23.2]",-11.449204363156262
"Any[11.6, -23.2]",13.50726808412943
"Any[-11.6, 23.2]",-1.4381856290448507
"Any[11.6, 0.0]",2.9012999271744966
"Any[-11.6, 23.2]",-5.8496451104219265
"Any[0.0, -11.6]",-5.220240404889956
"Any[-11.6, -23.2]",-5.763684516918139
"Any[23.2, 11.6]",17.431853917877813
"Any[11.6, 0.0]",4.155488240173371
"Any[0.0, 23.2]",1.8171199112326688
"Any[23.2, 0.0]",10.99735474755951
"Any[-23.2, 0.0]",-14.298069421307284
"Any[23.2, 11.6]",14.853903598332236
"Any[11.6, 23.2]",2.700725800303888
"Any[11.6, -11.6]",5.830852037246207
"Any[0.0, 23.2]",1.1640755656975788
"Any[23.2, -11.6]",10.426585526028505
"Any[0.0, -23.2]",4.808936884911321
"Any[-11.6, 11.6]",-0.3259462030772936
"Any[-11.6, -23.2]",-8.153398743455465
"Any[11.6, -11.6]",11.463696006474107
"Any[0.0, -23.2]",1.4553228307055217
"Any[23.2, 11.6]",22.473888051355203
"Any[11.6, 23.2]",5.985789206006635
"Any[0.0, -11.6]",-3.13583787484285
"Any[-11.6, 23.2]",-4.93639540501678
"Any[-23.2, 0.0]",-19.903728880495706
"Any[-11.6, -23.2]",-9.545053590797721
"Any[-11.6, -23.2]",-5.3462441977163815
"Any[-23.2, 0.0]",-10.13587606217128
"Any[23.2, -11.6]",13.346715698183113
"Any[11.6, -23.2]",8.31656765367207
"Any[-11.6, 11.6]",-0.6932765754853722
"Any[-11.6, 11.6]",-9.405649231902158
"Any[-23.2, -11.6]",-17.69894173138793
"Any[23.2, 0.0]",14.628702863166707
"Any[-11.6, 23.2]",-8.90463036907645
"Any[0.0, 11.6]",-2.52516600766531
"Any[-11.6, 23.2]",-11.046917536207205
"Any[11.6, 0.0]",0.5254773796590031
"Any[-11.6, 11.6]",-9.15807199385485
"Any[0.0, -23.2]",-2.940492136941929
"Any[-11.6, 0.0]",-2.60056560585143
"Any[0.0, -23.2]",-0.14003814323818153
"Any[-23.2, 0.0]",-9.06140547331594
"Any[11.6, -11.6]",6.073807390379186
"Any[23.2, 11.6]",16.703894597903595
"Any[23.2, -11.6]",12.782626203974921
"Any[-11.6, 23.2]",-2.0493625241624107
"Any[0.0, 23.2]",-5.675376751008148
"Any[0.0, 11.6]",-5.023807791071816
"Any[11.6, -11.6]",4.9895002716897405
"Any[23.2, 0.0]",14.840911137339512
"Any[23.2, -11.6]",15.325435293733198
"Any[-11.6, 23.2]",-2.205282692771661
"Any[23.2, 0.0]",9.328802050236641
"Any[23.2, 11.6]",15.062342823771704
"Any[23.2, 0.0]",12.822575054488915
"Any[11.6, 0.0]",9.20150318344702
"Any[-23.2, -11.6]",-13.721573529137837
"Any[23.2, -11.6]",17.194979437076505
"Any[-23.2, 11.6]",-13.787597846609557
"Any[0.0, 23.2]",-0.6915197587385389
"Any[11.6, -23.2]",-1.2629791303402902
"Any[0.0, -11.6]",3.2999416810824993
"Any[0.0, -23.2]",2.8247409872777145
"Any[-11.6, 0.0]",-2.032439312143842
"Any[-23.2, 11.6]",-12.971299098445126
"Any[11.6, -23.2]",2.9976905159938343
"Any[0.0, 23.2]",2.6015747147373567
"Any[-11.6, -23.2]",-12.3775688967892
"Any[-11.6, 0.0]",-2.586009016588808
"Any[-23.2, -11.6]",-15.42756114356213
"Any[11.6, -11.6]",9.95808242853317
"Any[-23.2, 11.6]",-13.466916918738535
"Any[11.6, -23.2]",4.347155829912182
"Any[0.0, -23.2]",2.374068495775429
"Any[-11.6, 23.2]",-2.053057551392897
"Any[0.0, 23.2]",-4.70663960707278
"Any[11.6, 23.2]",1.3334631623178557
"Any[11.6, 23.2]",1.2480926558073246
"Any[11.6, 0.0]",2.4065393855319055
